user_id,spotify_id,popularity,spotify_followers
9,5e2WCQCvRUo05S2uTk2xVC,1,262
12,7MOpb0hgwnTxr3lCNPPVGR,0,37
14,6VcXjtZBueCzpqWFqg29O7,9,390
16,2hYPsr25gOfRQCsz7Boe1Q,0,9
23,1pXMpZ5naNbGArl4Q1DGhs,0,57
27,1M7FGvgTp0ftLNZiKS61fp,2,855
31,3GznvHxIVOUCw9pmG76Nno,0,68
33,2vjzdOU9wy0flWHeQI3d6c,0,17
34,4vBjqyZSwW1mee1gXfo9Cv,8,381
40,4TJVX2FfoQKIVESztwvwVS,0,133
44,2YEFQTXVGZSspfPFeFiDrl,29,1152
61,4Y7lEpGZL5AsgZhzjBjYya,0,28
65,0ssl0AzN5WYHeyBvzCNy4d,0,131
67,3qKl1S1KWf6j14Jg31M1Li,35,11085
72,5PJrA4AsPWMQVKvHYcFqsp,3,724
85,4aqFxUUZMhGXJhyKIMmHQU,0,465
88,4OCjOBEzP8yTUPh6puX8ly,17,606
94,2attj72mDzqGW51nnkdpuc,5,630
95,09XlGeIi4ig81GQDaec7i6,1,68
101,4RvaqCAeKu0wKQ8Sliz3AZ,2,36
103,33aFYq4gUZ8v8XyXeOjt69,1,177
106,113JeJYtNW38BCbXzNLXKq,0,32
111,6hmYmasgOBfCcSAsZApRr1,40,2355
113,486eivvjMrA8ZyjYzlie10,6,2194
119,7F1N7XfIeMubysW5dUmekt,1,325
120,0gW5uYyrJh6Tp6jTyUlWNG,2,422
125,6h6mjJeXlCiAMWTTwB8obC,0,262
126,0fW4S8s87kfIrM4MhzQcOj,0,53
128,1TXDxqGPOp6aoz6UyAE4O0,0,26
129,50kJM8K8CWmA70c7gfChYF,8,251
145,61ttcTapzmGGTJwsPRvL4O,10,128
149,4tcCZDHggumU31EJ2ExbKU,0,156
154,2LixRfhHdyvv6KKWpVWBdz,5,91
157,1DvsyWazXfZFoI4PvnJSSp,14,1023
166,3Ra5FBvDPpmKfUZKVA88st,3,2567
170,2ibLlXoe9mkhU9MEcbVGBM,11,6128
180,74aJYiU6Y8EKVvujQGLzEm,3,1964
187,5tV6Fk6pRBJIEi232T3IOL,3,1337
188,50DSkg6uvU2xtwsZE8AqDy,0,141
190,0b8yW0XC8PbZglyW1o09G3,0,94
191,1xKmXnIkV8uXHfWYVoHnqM,3,478
196,03oOPZMyjwxWyIiiDQ3528,15,131
207,5jJAPoKkkgYZyPnnoNLTLw,8,1532
209,2duP1SlB8ar0yXcuXFffDw,0,328
212,0BKGjFBU0TWBEQVFFf0oZm,3,57
214,29X9ETznpo90KEYmabHyqb,9,776
214,6UPMwtAwXeJhnPrXi0ML8U,0,56
215,56sDnr4gaGbyCYdV7gSCHq,0,31
220,3HBsuB82ZnaANDUBCmlBPl,0,16
222,27FXtdsDbPqE4Waf2eMbpf,0,98
225,4s1wyNnHSt53k8DF9aiGSp,0,272
229,59Qp0eZhzkGpxCrIfV3yg5,0,57
232,2M5zcQZJoHdbktN4hIAcRY,4,128
243,4UZItDZ65Fr48ur7WNsINz,0,69
244,2YgoMnJ4G17uK1bnxqLAav,0,3
247,1oIoVEShf7RX573VbaTB4U,0,50
256,5ecLCSGdIUGrsKXeplZkrs,1,57
258,6O5E7wctrV9Gxkg0VmwLWg,0,8
259,4YA2oCdftzWYk130Hzomhw,0,36
261,58tMybUnfhwWwqNcN1y7P5,0,34
263,3Z7eqAu1lBb8rtnbbj39Oi,0,68
269,0Y0TqLmGPKMXKQtDzi4ejl,0,13
278,61Bwn9JNcLdnCo1uXaFEU0,0,34
282,0WoMeYBqQkwjHn4q9rFYPw,16,5058
284,4iHanj3ygiYiZCFYdVjrX9,0,360
288,54wSnZDh0IVl6xtPfvjKzV,0,77
297,02KW69PAOOmRB98tnQoL0S,0,43
313,6CCt1ZVDdcHMYkS3ylej9R,17,2921
314,1hdQKdPJPunK3w7OvA4jMY,0,7
319,78y87GqvnSbQdDxCjg3o5w,5,261
339,6wIkBbM3KUN2AWD57dMDeX,0,69
340,230mhUccsFUtgPNxqhXfoy,0,176
342,19k02eEUzq2b4BV6gd5Mib,0,32
343,5Ow8nUBwiF0zKVk5bZgEVw,0,6
349,0iPTAG0Ps8Gbxvn2WknTYo,0,18
350,2yCs1tlY4fm7iTqa6KyWFA,0,40
352,0510TvhYadzoEy0Mo9BZw3,3,1499
354,0tNaK3gukeWNa4lZMxyKqU,20,250
360,3CaF2CkWG2VOn9epQ6mE6A,7,568
362,4Qoay4o6BXiW9MDBnU96Na,0,96
363,0icGONLdXBBiKokkONKRVK,4,272
364,2SmWWW2ttL5QA3E624TOKX,15,2968
366,52DtlOcMs0XT76WTBuJCFq,6,1166
370,18SfcBi0Eg7iIHomrGC4MN,24,1330
373,3re7a7i5rTCq2yST6nbZw3,1,53
378,5uXFtg1g1sJdF38Uwvm6iS,0,45
387,2idfS1UBnrAbOAqgYPkIQh,1,1084
394,5lOBumgFWrGKdtYIA2vRxD,0,33
396,6jQcBp0ETYA8uTacmQmztj,0,8
399,4On6me7YYfQ9no8Ke54V0V,26,1632
403,2gXpGifrv5HTV6lJjMKQJf,6,532
408,0eFk1DJvyrZ6RCH68G37lp,0,142
409,1qlyhk1POBMOFpQ7LNANSO,9,2008
416,0niYO4gzW2uUaTSvnuWc8V,0,88
418,2BwfVKk9UNuo9MThpkVaW5,0,57
422,08ogGs0y9LEUYo9p29Seml,3,745
424,5nyBTw1YmtNAFVTUNOuV4M,0,27
433,78p0RoNA8epicS5hLk00gS,0,374
437,1VOoXWVoa2ILuo4VJZBclO,0,56
445,1i5d0IYQpYwM1GTUPioQnY,1,203
446,2eGRi1ABhIWrol7ldgxIxp,0,433
449,0EDU5Lyl56cOh62DMEbAKm,0,71
451,0OS83mLy4bVAE3tyNB5myI,29,75956
455,4hkY3UFU02h8paHGZfDGf5,8,1200
458,4QCiDjIMnyuUHgm7osHsud,0,113
462,14Q0mAssFJe9UazRjaE1oj,0,119
463,5yvH1QHvmDXpKzQ4Sjcn3W,0,70
464,1vmJX00cwTh9L8kYn1JfT4,24,2551
465,6ygHxdo3xdxvrOJJiwI7cd,3,878
466,0uSiLWLgqqR7SUL00iz0iZ,7,402
473,2ezJInWRQL8wKGCxs3v8tO,18,91
474,2hJHgSjgt2ij8alpKsyWmN,28,1482
477,2P4GSvCp7b4941qdEvC2Ep,0,222
