user_id,tag_id
9,1
9,2
9,3
9,4
9,5
12,6
14,6
16,7
23,6
27,8
31,6
33,6
34,6
40,6
44,6
61,6
65,6
67,9
72,6
85,6
88,10
94,6
95,6
101,11
101,12
101,13
101,14
103,6
106,15
106,16
106,2
106,17
106,18
111,19
113,6
119,20
119,21
119,22
120,6
125,6
126,6
128,6
129,23
145,6
149,24
149,25
149,26
149,27
149,28
154,6
157,6
166,29
170,6
180,30
180,31
180,32
180,33
187,34
188,6
190,35
190,36
190,12
190,37
190,38
191,6
196,6
207,39
207,40
207,39
207,41
207,42
209,6
212,6
214,43
214,44
214,45
214,46
214,47
214,48
215,6
220,6
222,49
225,6
229,6
232,6
243,6
244,6
247,50
247,51
247,52
247,53
247,54
256,6
258,6
259,6
261,6
263,6
269,6
278,6
282,55
284,6
288,6
297,1
297,56
297,57
297,58
297,59
313,60
314,6
319,6
339,6
340,61
340,61
340,21
340,23
340,62
342,6
343,6
349,6
350,6
352,6
354,6
360,6
362,6
363,6
364,63
366,64
370,6
373,6
378,6
387,65
394,6
396,6
399,6
403,6
408,6
409,66
416,6
418,67
418,68
418,69
418,51
418,70
422,6
424,6
433,71
433,30
433,72
433,73
433,69
437,6
445,6
446,74
446,75
446,70
446,15
446,23
449,6
451,6
455,6
458,6
462,6
463,76
463,77
463,78
463,79
463,80
464,81
464,82
465,6
466,6
473,83
473,84
473,52
473,85
473,56
474,6
477,6
481,6
482,7
482,31
482,86
482,87
482,20
483,88
483,89
491,6
494,6
496,6
499,6
501,6
504,90
504,16
504,91
504,92
504,93
510,6
511,6
512,6
516,6
517,6
520,52
520,61
520,21
520,94
520,95
533,56
533,96
533,97
533,98
533,99
536,6
538,6
540,100
541,6
543,6
560,6
563,6
564,6
575,101
585,51
585,91
585,20
585,102
585,103
589,6
590,6
597,6
606,6
607,6
611,104
611,56
611,98
611,104
611,105
612,106
612,7
612,107
612,61
612,108
628,51
628,52
628,109
628,61
628,110
633,6
639,111
640,6
642,20
642,52
642,112
642,3
643,6
651,6
662,7
662,113
662,114
662,115
662,116
664,117
664,118
664,51
664,119
664,120
666,30
666,86
666,31
666,121
666,15
671,61
671,21
671,122
671,123
671,124
674,49
674,125
674,126
674,127
674,128
676,6
682,15
682,129
682,130
682,131
682,130
686,6
687,132
696,55
702,6
704,6
713,6
717,31
717,133
717,134
717,73
717,21
718,6
722,83
722,61
722,21
722,30
722,135
723,6
724,136
727,6
728,6
729,6
735,6
736,15
736,74
736,137
736,138
736,139
738,6
739,6
740,6
748,6
751,6
762,6
766,6
769,20
769,21
769,21
769,140
769,141
770,6
771,6
774,6
775,142
781,106
781,7
781,38
781,52
781,12
782,6
783,6
787,6
788,6
802,6
803,7
803,15
803,143
803,52
803,129
805,6
808,6
811,52
811,56
811,85
811,98
811,53
813,6
816,6
9,1
9,2
9,3
9,4
9,5
12,6
14,6
16,7
23,6
27,8
31,6
33,6
34,6
40,6
44,6
61,6
65,6
67,9
72,6
85,6
88,10
94,6
95,6
101,11
101,12
101,13
101,14
103,6
106,15
106,16
106,2
106,17
106,18
111,19
113,6
119,20
119,21
119,22
120,6
125,6
126,6
128,6
129,23
145,6
149,24
149,25
149,26
149,27
149,28
154,6
157,6
166,29
170,6
180,30
180,31
180,32
180,33
187,34
188,6
190,35
190,36
190,12
190,37
190,38
191,6
196,6
207,39
207,40
207,39
207,41
207,42
209,6
212,6
214,43
214,44
214,45
214,46
214,47
214,48
215,6
220,6
222,49
225,6
229,6
232,6
243,6
244,6
247,50
247,51
247,52
247,53
247,54
256,6
258,6
259,6
261,6
263,6
269,6
278,6
282,55
284,6
288,6
297,1
297,56
297,57
297,58
297,59
313,60
314,6
319,6
339,6
340,61
340,61
340,21
340,23
340,62
342,6
343,6
349,6
350,6
352,6
354,6
360,6
362,6
363,6
364,63
366,64
370,6
373,6
378,6
387,65
394,6
396,6
399,6
403,6
408,6
409,66
416,6
418,67
418,68
418,69
418,51
418,70
422,6
424,6
433,71
433,30
433,72
433,73
433,69
437,6
445,6
446,74
446,75
446,70
446,15
446,23
449,6
451,6
455,6
458,6
462,6
463,76
463,77
463,78
463,79
463,80
464,81
464,82
465,6
466,6
473,83
473,84
473,52
473,85
473,56
474,6
477,6
481,6
482,7
482,31
482,86
482,87
482,20
483,88
483,89
491,6
494,6
496,6
499,6
501,6
504,90
504,16
504,91
504,92
504,93
510,6
511,6
512,6
516,6
517,6
520,52
520,61
520,21
520,94
520,95
533,56
533,96
533,97
533,98
533,99
536,6
538,6
540,100
541,6
543,6
560,6
563,6
564,6
575,101
585,51
585,91
585,20
585,102
585,103
589,6
590,6
597,6
606,6
607,6
611,104
611,56
611,98
611,104
611,105
612,106
612,7
612,107
612,61
612,108
628,51
628,52
628,109
628,61
628,110
633,6
639,111
640,6
642,20
642,52
642,112
642,3
643,6
651,6
662,7
662,113
662,114
662,115
662,116
664,117
664,118
664,51
664,119
664,120
666,30
666,86
666,31
666,121
666,15
671,61
671,21
671,122
671,123
671,124
674,49
674,125
674,126
674,127
674,128
676,6
682,15
682,129
682,130
682,131
682,130
686,6
687,132
696,55
702,6
704,6
713,6
717,31
717,133
717,134
717,73
717,21
718,6
722,83
722,61
722,21
722,30
722,135
723,6
724,136
727,6
728,6
729,6
735,6
736,15
736,74
736,137
736,138
736,139
738,6
739,6
740,6
748,6
751,6
762,6
766,6
769,20
769,21
769,21
769,140
769,141
770,6
771,6
774,6
775,142
781,106
781,7
781,38
781,52
781,12
782,6
783,6
787,6
788,6
802,6
803,7
803,15
803,143
803,52
803,129
805,6
808,6
811,52
811,56
811,85
811,98
811,53
813,6
816,6
9,1
9,2
9,3
9,4
9,5
12,6
14,6
16,7
23,6
27,8
31,6
33,6
34,6
40,6
44,6
61,6
65,6
67,9
72,6
85,6
88,10
94,6
95,6
101,11
101,12
101,13
101,14
103,6
106,15
106,16
106,2
106,17
106,18
111,19
113,6
119,20
119,21
119,22
120,6
125,6
126,6
128,6
129,23
145,6
149,24
149,25
149,26
149,27
149,28
154,6
157,6
166,29
170,6
180,30
180,31
180,32
180,33
187,34
188,6
190,35
190,36
190,12
190,37
190,38
191,6
196,6
207,39
207,40
207,39
207,41
207,42
209,6
212,6
214,43
214,44
214,45
214,46
214,47
214,48
215,6
220,6
222,49
225,6
229,6
232,6
243,6
244,6
247,50
247,51
247,52
247,53
247,54
256,6
258,6
259,6
261,6
263,6
269,6
278,6
282,55
284,6
288,6
297,1
297,56
297,57
297,58
297,59
313,60
314,6
319,6
339,6
340,61
340,61
340,21
340,23
340,62
342,6
343,6
349,6
350,6
352,6
354,6
360,6
362,6
363,6
364,63
366,64
370,6
373,6
378,6
387,65
394,6
396,6
399,6
403,6
408,6
409,66
416,6
418,67
418,68
418,69
418,51
418,70
422,6
424,6
433,71
433,30
433,72
433,73
433,69
437,6
445,6
446,74
446,75
446,70
446,15
446,23
449,6
451,6
455,6
458,6
462,6
463,76
463,77
463,78
463,79
463,80
464,81
464,82
465,6
466,6
473,83
473,84
473,52
473,85
473,56
474,6
477,6
481,6
482,7
482,31
482,86
482,87
482,20
483,88
483,89
491,6
494,6
496,6
499,6
501,6
504,90
504,16
504,91
504,92
504,93
510,6
511,6
512,6
516,6
517,6
520,52
520,61
520,21
520,94
520,95
533,56
533,96
533,97
533,98
533,99
536,6
538,6
540,100
541,6
543,6
560,6
563,6
564,6
575,101
585,51
585,91
585,20
585,102
585,103
589,6
590,6
597,6
606,6
607,6
611,104
611,56
611,98
611,104
611,105
612,106
612,7
612,107
612,61
612,108
628,51
628,52
628,109
628,61
628,110
633,6
639,111
640,6
642,20
642,52
642,112
642,3
643,6
651,6
662,7
662,113
662,114
662,115
662,116
664,117
664,118
664,51
664,119
664,120
666,30
666,86
666,31
666,121
666,15
671,61
671,21
671,122
671,123
671,124
674,49
674,125
674,126
674,127
674,128
676,6
682,15
682,129
682,130
682,131
682,130
686,6
687,132
696,55
702,6
704,6
713,6
717,31
717,133
717,134
717,73
717,21
718,6
722,83
722,61
722,21
722,30
722,135
723,6
724,136
727,6
728,6
729,6
735,6
736,15
736,74
736,137
736,138
736,139
738,6
739,6
740,6
748,6
751,6
762,6
766,6
769,20
769,21
769,21
769,140
769,141
770,6
771,6
774,6
775,142
781,106
781,7
781,38
