genre,tag_id
hard rock,1
aor,2
under 2000 listeners,3
melodic metal,4
melodic hard rock,5
UNKNOWN,6
seen live,7
northern irish indie,8
korean instrumental,9
italian contemporary classical,10
ambient,11
experimental,12
drone,13
dark ambient,14
pop,15
80's,16
melodic rock,17
80er,18
neo-classical,19
french,20
rap,21
french rap,22
brazil,23
kurdish,24
kurtce,25
kurde,26
kurdish pop,27
folk,28
socal indie,29
punk,30
hardcore,31
d-beat,32
crustcore,33
neo-psicodelia brasileira,34
post-punk,35
industrial,36
psychedelic,37
noise,38
electropop,39
3,40
switzerland,41
sankt gallen,42
rap nortista,43
drum and bass,44
neurofunk,45
atmospheric drum and bass,46
dnb,47
atmospheric,48
soundtrack,49
hardstyle,50
electronic,51
indie,52
math rock,53
progressive,54
rap calme,55
rock,56
opm,57
filipino,58
pinoy,59
synth funk,60
hip-hop,61
brasil,62
brazilian bass,63
botswana pop,64
grungegaze,65
french indie pop,66
lounge,67
thrash metal,68
metal,69
jazz,70
horror punk,71
deathrock,72
punk rock,73
soul,74
r&b,75
honky tonk,76
country,77
melodic trance,78
outlaw country,79
alcohol,80
brazilian dnb,81
liquid funk,82
korean,83
k-rock,84
alternative,85
hardcore punk,86
swedish punk,87
french post-rock,88
instrumental post-rock,89
italo disco,90
disco,91
female vocalists,92
celtic,93
midwest,94
alternative hip hop,95
classic rock,96
70s,97
alternative rock,98
acoustic,99
netherlands,100
florida drill,101
house,102
france,103
turkish rock,104
baris manco little darling,105
black metal,106
death metal,107
jungle,108
remix,109
beats,110
bedroompop pop,111
chanson francaise,112
contemporary folk,113
folk rock,114
alt country,115
singer songwriter,116
reggaeton,117
merengue,118
latin,119
romanian,120
bahia,121
usa,122
american,123
female rapper,124
orchestral,125
classical,126
baroque,127
instrumental,128
indie pop,129
austrian,130
female singers,131
britpop revival,132
skate punk,133
melodic hardcore,134
korean hip-hop,135
hard alternative,136
electro,137
homemade,138
try,139
rap fr,140
trap metal,141
tropical house,142
norwegian,143
hard rock,1
aor,2
under 2000 listeners,3
melodic metal,4
melodic hard rock,5
UNKNOWN,6
seen live,7
northern irish indie,8
korean instrumental,9
italian contemporary classical,10
ambient,11
experimental,12
drone,13
dark ambient,14
pop,15
80's,16
melodic rock,17
80er,18
neo-classical,19
french,20
rap,21
french rap,22
brazil,23
kurdish,24
kurtce,25
kurde,26
kurdish pop,27
folk,28
socal indie,29
punk,30
hardcore,31
d-beat,32
crustcore,33
neo-psicodelia brasileira,34
post-punk,35
industrial,36
psychedelic,37
noise,38
electropop,39
3,40
switzerland,41
sankt gallen,42
rap nortista,43
drum and bass,44
neurofunk,45
atmospheric drum and bass,46
dnb,47
atmospheric,48
soundtrack,49
hardstyle,50
electronic,51
indie,52
math rock,53
progressive,54
rap calme,55
rock,56
opm,57
filipino,58
pinoy,59
synth funk,60
hip-hop,61
brasil,62
brazilian bass,63
botswana pop,64
grungegaze,65
french indie pop,66
lounge,67
thrash metal,68
metal,69
jazz,70
horror punk,71
deathrock,72
punk rock,73
soul,74
r&b,75
honky tonk,76
country,77
melodic trance,78
outlaw country,79
alcohol,80
brazilian dnb,81
liquid funk,82
korean,83
k-rock,84
alternative,85
hardcore punk,86
swedish punk,87
french post-rock,88
instrumental post-rock,89
italo disco,90
disco,91
female vocalists,92
celtic,93
midwest,94
alternative hip hop,95
classic rock,96
70s,97
alternative rock,98
acoustic,99
netherlands,100
florida drill,101
house,102
france,103
turkish rock,104
baris manco little darling,105
black metal,106
death metal,107
jungle,108
remix,109
beats,110
bedroompop pop,111
chanson francaise,112
contemporary folk,113
folk rock,114
alt country,115
singer songwriter,116
reggaeton,117
merengue,118
latin,119
romanian,120
bahia,121
usa,122
american,123
female rapper,124
orchestral,125
classical,126
baroque,127
instrumental,128
indie pop,129
austrian,130
female singers,131
britpop revival,132
skate punk,133
melodic hardcore,134
korean hip-hop,135
hard alternative,136
electro,137
homemade,138
try,139
rap fr,140
trap metal,141
tropical house,142
norwegian,143
hard rock,1
aor,2
under 2000 listeners,3
melodic metal,4
melodic hard rock,5
UNKNOWN,6
seen live,7
northern irish indie,8
korean instrumental,9
italian contemporary classical,10
ambient,11
experimental,12
drone,13
dark ambient,14
pop,15
80's,16
melodic rock,17
80er,18
neo-classical,19
french,20
rap,21
french rap,22
brazil,23
kurdish,24
kurtce,25
kurde,26
kurdish pop,27
folk,28
socal indie,29
punk,30
hardcore,31
d-beat,32
crustcore,33
neo-psicodelia brasileira,34
post-punk,35
industrial,36
psychedelic,37
noise,38
electropop,39
3,40
switzerland,41
sankt gallen,42
rap nortista,43
drum and bass,44
neurofunk,45
atmospheric drum and bass,46
dnb,47
atmospheric,48
soundtrack,49
hardstyle,50
electronic,51
indie,52
math rock,53
progressive,54
rap calme,55
rock,56
opm,57
filipino,58
pinoy,59
synth funk,60
hip-hop,61
brasil,62
brazilian bass,63
botswana pop,64
grungegaze,65
french indie pop,66
lounge,67
thrash metal,68
metal,69
jazz,70
horror punk,71
deathrock,72
punk rock,73
soul,74
r&b,75
honky tonk,76
country,77
melodic trance,78
outlaw country,79
alcohol,80
brazilian dnb,81
liquid funk,82
korean,83
k-rock,84
alternative,85
hardcore punk,86
swedish punk,87
french post-rock,88
instrumental post-rock,89
italo disco,90
disco,91
female vocalists,92
celtic,93
midwest,94
alternative hip hop,95
classic rock,96
70s,97
alternative rock,98
acoustic,99
netherlands,100
florida drill,101
house,102
france,103
turkish rock,104
baris manco little darling,105
black metal,106
death metal,107
jungle,108
remix,109
beats,110
bedroompop pop,111
chanson francaise,112
contemporary folk,113
folk rock,114
alt country,115
singer songwriter,116
reggaeton,117
merengue,118
latin,119
romanian,120
bahia,121
usa,122
american,123
female rapper,124
orchestral,125
classical,126
baroque,127
instrumental,128
indie pop,129
austrian,130
female singers,131
britpop revival,132
skate punk,133
melodic hardcore,134
korean hip-hop,135
hard alternative,136
electro,137
homemade,138
try,139
rap fr,140
trap metal,141
tropical house,142
norwegian,143
hard rock,1
aor,2
under 2000 listeners,3
melodic metal,4
melodic hard rock,5
UNKNOWN,6
seen live,7
northern irish indie,8
korean instrumental,9
italian contemporary classical,10
ambient,11
experimental,12
drone,13
dark ambient,14
pop,15
80's,16
melodic rock,17
80er,18
neo-classical,19
french,20
rap,21
french rap,22
brazil,23
kurdish,24
kurtce,25
kurde,26
kurdish pop,27
folk,28
socal indie,29
punk,30
hardcore,31
d-beat,32
crustcore,33
neo-psicodelia brasileira,34
post-punk,35
industrial,36
psychedelic,37
noise,38
electropop,39
3,40
switzerland,41
sankt gallen,42
rap nortista,43
drum and bass,44
neurofunk,45
atmospheric drum and bass,46
dnb,47
atmospheric,48
soundtrack,49
hardstyle,50
electronic,51
indie,52
math rock,53
progressive,54
rap calme,55
rock,56
opm,57
filipino,58
pinoy,59
synth funk,60
hip-hop,61
brasil,62
brazilian bass,63
botswana pop,64
grungegaze,65
french indie pop,66
lounge,67
thrash metal,68
metal,69
jazz,70
horror punk,71
deathrock,72
punk rock,73
soul,74
r&b,75
honky tonk,76
country,77
melodic trance,78
outlaw country,79
alcohol,80
brazilian dnb,81
liquid funk,82
korean,83
k-rock,84
alternative,85
hardcore punk,86
swedish punk,87
french post-rock,88
instrumental post-rock,89
italo disco,90
disco,91
female vocalists,92
celtic,93
midwest,94
alternative hip hop,95
classic rock,96
70s,97
alternative rock,98
acoustic,99
netherlands,100
florida drill,101
house,102
france,103
turkish rock,104
baris manco little darling,105
black metal,106
death metal,107
jungle,108
remix,109
beats,110
bedroompop pop,111
chanson francaise,112
contemporary folk,113
