user_id,spotify_id,popularity,spotify_followers
465914,70NNRWCobCZaQUHWEsQtaM,12,920
387109,7vdWVGhRjWiT8VHuS9D9a5,4,702
22441,0dZXa7OgcOzv3tNUagbKb7,30,7235
24561,69TId5uzfvwO2DkFfWM9sL,22,11921
215919,2EyVzQKEoNoGCAWJYfoJRg,37,22683
299061,6ugB87XnwqEwHL5s6ovPAP,40,3476
13014,34O5j4kXzwzwpusQApiRLA,0,82
22237,5icKdCmMhNMYoAzVBAWt39,64,1528486
387154,6DTpmzMa0Gz93kRKUo4JfQ,41,42430
12217,6uz6yX6ZXG4XWprCf3ukx2,42,17919
146616,4nbklwOZ5lnv1otsaaDJZg,17,2032
13748,6iCteQsm9HfeV6IdMgWTEt,19,4773
2520,416Vo0dyNBg0RnludatKGW,5,314
15140,6Q1Ps2F5LkdxLAM6S7KPpt,46,23104
192864,3XiGByuSI3s5MSbYtBOv7W,8,2369
30103,6xXjN9YzdRX0ixShs9BHAv,7,1420
313045,4rRMk8pMRjwTi8tKHvuQ0b,7,341
18500,4gLjewMzkKRnCZ6pPxoHbj,37,10727
10163,1NiUyWpQtsymFf3Ks4DZlt,26,11738
132861,41K4V4bBF3r8z9NS3Yr4HX,3,1244
151272,6EdDSCSSZ6jFFsA2261XF6,0,544
142066,0kqz7XXvCnxDLku3AfGnc2,10,2024
9526,75Up6LdWwOKmrHwDILwdwz,22,2442
5163,6LS4JmJblcTdQwJ7mi1h5O,11,1430
424202,63vMehdxxRWq9HBZHskapk,55,176099
275953,1vcVRd3LEXW2sEvpF3OTgI,0,584
373299,2h5FjUixpBfZedws9Y8cnS,27,1445
202103,5iDIPw4XISqyFqD817n4iL,25,5456
16464,0ChUTSO3tfQSVKMOpWkCJy,26,21407
5512,2i1Sm6KCGynVL4RRFo1fr7,23,1167
21775,2qR0Z9tF5eXGAyZFWQWtOm,31,4088
28924,0SdHkxit1Wk6CVE4T9Wjdj,0,1869
174343,0IKPfKkoKDbdQTKX0LCFZB,35,9770
336082,4nQnh8HPJQIw8hc6dUsRnB,0,137
354760,6yeeXqk3RxV7l5DxmlXMnw,48,82619
6774,3NRe8rQ57HY4nsmfMN0dPW,2,386
29283,0FSc1VcYTT0NQ5u9f5Hmpk,31,5543
336068,01iBYoUzhKZLQAGRDF0L9U,36,3875
16133,2EtksajEPOMDkyVKMZi1eO,41,18364
160570,3qEnCAnX23lvoxZYtBiPgL,52,184650
9944,1OOqRDxjjXJZaHjgliZaHc,31,3105
248131,40irb67rN0j7OQXBFCLOCj,10,16013
27070,5E2ZhCLeMgxn7Pzr00YmY7,32,3352
336133,6mUsP11CHMSNKtThGbaEXa,0,107
5305,64XqdWjtYhfMJeQB7wtAwS,45,246119
20359,0eHY5jLP9TgzxYhT19Sqyq,31,22505
